species,isolates,long_reads,short_reads
E.coli,e_coli_001,SRR12298680,SRR11948631
E.coli,e_coli_002,SRR12298466,SRR11948635
E.coli,e_coli_003,SRR12298468,SRR11948637
E.coli,e_coli_004,SRR12298469,SRR11948638
E.coli,e_coli_005,SRR12298471,SRR11948640
E.coli,e_coli_006,SRR12298473,SRR11948642
E.coli,e_coli_007,SRR12298474,SRR11948643
E.coli,e_coli_008,SRR12298475,SRR11948644
E.coli,e_coli_009,SRR12298478,SRR11948647
E.coli,e_coli_010,SRR12298479,SRR11948648
E.coli,e_coli_011,SRR12298480,SRR11948649
E.coli,e_coli_012,SRR12298505,SRR11948650
E.coli,e_coli_013,SRR12298594,SRR11948651
E.coli,e_coli_014,SRR12298595,SRR11948652
E.coli,e_coli_015,SRR12298597,SRR11948654
E.coli,e_coli_016,SRR12298598,SRR11948655
E.coli,e_coli_017,SRR12298599,SRR11948656
E.coli,e_coli_018,SRR12298600,SRR11948657
E.coli,e_coli_019,SRR12298953,SRR11948659
E.coli,e_coli_020,SRR12298958,SRR11948664
E.faecium,E0139,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E0595,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E0656,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E1334,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E1774,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E2079,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E2364,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E4227,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E4239,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E4402,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E4413,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E4438,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E4456,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E4457,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E6020,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E6043,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E6055,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E6975,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E6988,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
E.faecium,E7025,10.6084/m9.figshare.7046804;10.6084/m9.figshare.7047686,PRJEB28495
K.pneumoniae,kpne-SAMN15148140,SAMN15148140,SAMN15148140
K.pneumoniae,kpne-SAMN15148290,SAMN15148290,SAMN15148290
K.pneumoniae,kpne-SAMN15148398,SAMN15148398,SAMN15148398
K.pneumoniae,kpne-SAMN15148443,SAMN15148443,SAMN15148443
K.pneumoniae,kpne-SAMN15148466,SAMN15148466,SAMN15148466
K.pneumoniae,kpne-SAMN15148467,SAMN15148467,SAMN15148467
K.pneumoniae,kpne-SAMN15148468,SAMN15148468,SAMN15148468
K.pneumoniae,kpne-SAMN15148492,SAMN15148492,SAMN15148492
K.pneumoniae,kpne-SAMN15148502,SAMN15148502,SAMN15148502
K.pneumoniae,kpne-SAMN15148509,SAMN15148509,SAMN15148509
K.pneumoniae,kpne-SAMN15148523,SAMN15148523,SAMN15148523
K.pneumoniae,kpne-SAMN15148530,SAMN15148530,SAMN15148530
K.pneumoniae,kpne-SAMN15148602,SAMN15148602,SAMN15148602
K.pneumoniae,kpne-SAMN15148610,SAMN15148610,SAMN15148610
K.pneumoniae,kpne-SAMN15148614,SAMN15148614,SAMN15148614
K.pneumoniae,kpne-SAMN15148642,SAMN15148642,SAMN15148642
K.pneumoniae,kpne-SAMN15148644,SAMN15148644,SAMN15148644
K.pneumoniae,kpne-SAMN15148656,SAMN15148656,SAMN15148656
K.pneumoniae,kpne-SAMN15148664,SAMN15148664,SAMN15148664
K.pneumoniae,kpne-SAMN15148670,SAMN15148670,SAMN15148670
